Day of Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Max Temp (deg F) ,41,52,32,40,40,48,46,54,61,61,66,61,65,68,70,67,70,47,71,59,67,76,68,70,70,67,61,37,42,53,65
 Avg Temp(deg F) ,26.8,38.3,27.7,26.7,32.1,40.3,36.2,42.6,49.9,45,57.2,48.2,45.8,46.5,50.7,49.3,53.7,38.6,58.1,41.9,45.8,56.6,53.6,56.8,58.8,50.7,46.4,21,28.3,36.9,47.6
Min Temp (deg F),11,29,22,16,25,33,28,33,34,27,47,37,31,29,39,37,42,31,38,30,28,45,42,46,45,39,31,10,18,27,31
